File	proportion
Oligotropha_carboxidovorans_OM5_uid59155	0.0536724
Wolbachia_endosymbiont_of_Drosophila_melanogaster_uid57851	0.0376429
Klebsiella_variicola_At_22_uid42113	0.0311311
Chlorobium_luteolum_DSM_273_uid58175	0.02689
Francisella_tularensis_mediasiatica_FSC147_uid58939	0.0220074
Laribacter_hongkongensis_HLHK9_uid59265	0.0178494
Borrelia_afzelii_PKo_uid58653	0.0177174
Salmonella_enterica_serovar_Typhi_CT18_uid57793	0.0174847
Sulfurimonas_autotrophica_DSM_16294_uid53043	0.0170386
Odoribacter_splanchnicus_DSM_20712_uid63397	0.0162826
Sulfolobus_islandicus_Y_N_15_51_uid58825	0.0151362
Aliivibrio_salmonicida_LFI1238_uid59251	0.0143416
Hyphomonas_neptunium_ATCC_15444_uid58433	0.0142631
Roseobacter_denitrificans_OCh_114_uid58597	0.0141432
Nitrosopumilus_maritimus_SCM1_uid58903	0.0134297
Yersinia_pestis_CO92_uid57621	0.0129389
Clostridium_botulinum_Ba4_657_uid59173	0.0129028
Thermoanaerobacter_italicus_Ab9_uid46241	0.0119694
Yersinia_enterocolitica_palearctica_105_5R_r__uid63663	0.0115203
Thioalkalivibrio_K90mix_uid46181	0.0113493
Halorhabdus_utahensis_DSM_12940_uid59189	0.011332
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	0.0108106
Salmonella_enterica_serovar_Paratyphi_C_RKS4594_uid59063	0.0106811
Pseudomonas_fluorescens_Pf_5_uid57937	0.0103396
Streptomyces_violaceusniger_Tu_4113_uid52609	0.0102566
Amycolatopsis_mediterranei_U32_uid50565	0.0102169
Chlorobium_phaeobacteroides_DSM_266_uid58133	0.0100537
Leifsonia_xyli_CTCB07_uid57759	0.00994811
Escherichia_coli_ATCC_8739_uid58783	0.00981243
Haloarcula_hispanica_ATCC_33960_uid72475	0.00971576
Variovorax_paradoxus_EPS_uid62107	0.00910564
Helicobacter_hepaticus_ATCC_51449_uid57737	0.00904236
Delftia_acidovorans_SPH_1_uid58703	0.00892549
Pseudomonas_mendocina_ymp_uid58723	0.00867941
Rhodopseudomonas_palustris_HaA2_uid58439	0.00855216
Candidatus_Moranella_endobia_PCIT_uid68739	0.0084805
Archaeoglobus_profundus_DSM_5631_uid43493	0.00834419
Coxiella_burnetii_RSA_493_uid57631	0.00832122
Yersinia_pestis_Pestoides_F_uid58619	0.0082121
Megasphaera_elsdenii_DSM_20460_uid71135	0.00816995
Candidatus_Vesicomyosocius_okutanii_HA_uid59427	0.0081612
Chlorobium_chlorochromatii_CaD3_uid58375	0.00788462
Synechococcus_elongatus_PCC_6301_uid58235	0.00778474
Xylella_fastidiosa_M12_uid58763	0.00767566
Acinetobacter_ADP1_uid61597	0.00756812
Halanaerobium_hydrogeniformans_uid60191	0.0075447
Riemerella_anatipestifer_DSM_15868_uid60727	0.00729781
Lacinutrix_5H_3_7_4_uid68067	0.0072845
Paenibacillus_JDR_2_uid59021	0.00717102
Dehalococcoides_BAV1_uid58477	0.00707901
Acinetobacter_DR1_uid50119	0.00695684
Prevotella_ruminicola_23_uid47507	0.00683803
Leptospira_interrogans_serovar_Lai_56601_uid57881	0.00680483
Idiomarina_loihiensis_L2TR_uid58087	0.0067809
Geobacillus_Y412MC61_uid41171	0.0067151
Teredinibacter_turnerae_T7901_uid59267	0.00666386
Haloferax_volcanii_DS2_uid46845	0.00659804
Haemophilus_influenzae_PittGG_uid58593	0.00659196
Candidatus_Amoebophilus_asiaticus_5a2_uid58963	0.00651527
Desulfatibacillum_alkenivorans_AK_01_uid58913	0.00650444
Halomicrobium_mukohataei_DSM_12286_uid59107	0.00643065
Parvibaculum_lavamentivorans_DS_1_uid58739	0.00641891
Clostridium_SY8519_uid68705	0.00636804
Desulfovibrio_vulgaris_Hildenborough_uid57645	0.00636416
Synechococcus_CC9605_uid58319	0.00635393
Psychrobacter_cryohalolentis_K5_uid58373	0.00632602
Prochlorococcus_marinus_MIT_9211_uid58309	0.00632077
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	0.00609912
Helicobacter_pylori_P12_uid59327	0.00608558
Thermococcus_sibiricus_MM_739_uid59399	0.00605294
Bacillus_amyloliquefaciens_FZB42_uid58271	0.00600615
Clostridium_difficile_R20291_uid40921	0.00597565
Escherichia_coli_S88_uid62979	0.00591941
Pyrococcus_horikoshii_OT3_uid57753	0.00588699
Rhodoferax_ferrireducens_T118_uid58353	0.00587898
Streptococcus_gallolyticus_UCN34_uid46061	0.00586586
Aquifex_aeolicus_VF5_uid57765	0.00586144
Prochlorococcus_marinus_MIT_9215_uid58819	0.00582598
Methanocaldococcus_vulcanius_M7_uid41131	0.00578902
