File	proportion
Pseudogulbenkiania_NH8B_uid73423	0.0170335
Methanosaeta_concilii_GP6_uid66207	0.0119191
Paenibacillus_polymyxa_SC2_uid59583	0.0090188
Myxococcus_fulvus_HW_1_uid68443	0.00852761
Desulfotomaculum_carboxydivorans_CO_1_SRB_uid67317	0.00761417
Xylella_fastidiosa_M12_uid58763	0.00694456
Lactobacillus_gasseri_ATCC_33323_uid57687	0.00590346
Mesorhizobium_opportunistum_WSM2075_uid40861	0.00564407
Corynebacterium_resistens_DSM_45100_uid50555	0.00539116
Ruminococcus_albus_7_uid51721	0.00525461
Chlamydia_trachomatis_B_TZ1A828_OT_uid59349	0.00516327
Chloroflexus_aggregans_DSM_9485_uid58621	0.00438953
Brachybacterium_faecium_DSM_4810_uid58649	0.00425222
Halomicrobium_mukohataei_DSM_12286_uid59107	0.00422898
Synechococcus_PCC_7002_uid59137	0.00415097
Bacillus_clausii_KSM_K16_uid58237	0.00414207
Thermocrinis_albus_DSM_14484_uid46231	0.00401916
Glaciecola_nitratireducens_FR1064_uid73759	0.0038946
Corynebacterium_glutamicum_R_uid58897	0.00374632
Acinetobacter_baumannii_ACICU_uid58765	0.00365688
Thermoplasma_acidophilum_DSM_1728_uid61573	0.0036257
Dichelobacter_nodosus_VCS1703A_uid57643	0.0035443
Pseudomonas_aeruginosa_UCBPP_PA14_uid57977	0.00342881
Xanthomonas_albilineans_GPE_PC73_uid43163	0.00339673
Starkeya_novella_DSM_506_uid48815	0.00332417
Pediococcus_pentosaceus_ATCC_25745_uid57981	0.00328437
Chlamydia_muridarum_Nigg_uid57785	0.00327091
Ilyobacter_polytropus_DSM_2926_uid59769	0.00320958
Dyadobacter_fermentans_DSM_18053_uid59049	0.00319327
Candidatus_Liberibacter_asiaticus_psy62_uid59227	0.00315603
Onion_yellows_phytoplasma_OY_M_uid58015	0.00311859
Cellulomonas_flavigena_DSM_20109_uid48821	0.00300238
Rubrobacter_xylanophilus_DSM_9941_uid58057	0.00289094
Eggerthella_lenta_DSM_2243_uid59079	0.00288534
Gluconobacter_oxydans_621H_uid58239	0.00282073
