File	proportion
Borrelia_afzelii_PKo_uid58653	1
Borrelia_afzelii_PKo_uid58653	1
Borrelia_afzelii_PKo_uid58653	1
Borrelia_afzelii_PKo_uid58653	1
Borrelia_afzelii_PKo_uid58653	1
Borrelia_afzelii_PKo_uid58653	1
Helicobacter_hepaticus_ATCC_51449_uid57737	0.999998
Staphylothermus_hellenicus_DSM_12710_uid45893	0.999998
Haloarcula_hispanica_ATCC_33960_uid72475	0.999998
Olsenella_uli_DSM_7084_uid51367	0.999989
Candidatus_Vesicomyosocius_okutanii_HA_uid59427	0.999987
Roseobacter_denitrificans_OCh_114_uid58597	0.999981
Salmonella_enterica_serovar_Paratyphi_C_RKS4594_uid59063	0.999964
Pyrococcus_horikoshii_OT3_uid57753	0.999961
Francisella_tularensis_mediasiatica_FSC147_uid58939	0.999936
Rhodoferax_ferrireducens_T118_uid58353	0.99993
Roseobacter_denitrificans_OCh_114_uid58597	0.999913
Borrelia_afzelii_PKo_uid58653	0.999908
Desulfovibrio_vulgaris_Hildenborough_uid57645	0.999891
Roseobacter_denitrificans_OCh_114_uid58597	0.999879
Archaeoglobus_profundus_DSM_5631_uid43493	0.999865
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.999862
Synechococcus_elongatus_PCC_6301_uid58235	0.999845
Coxiella_burnetii_RSA_493_uid57631	0.999839
Psychrobacter_cryohalolentis_K5_uid58373	0.999806
Thermococcus_sibiricus_MM_739_uid59399	0.999803
Sulfurimonas_autotrophica_DSM_16294_uid53043	0.999741
Hyphomonas_neptunium_ATCC_15444_uid58433	0.999697
Halorhabdus_utahensis_DSM_12940_uid59189	0.999695
Aquifex_aeolicus_VF5_uid57765	0.999682
Roseobacter_denitrificans_OCh_114_uid58597	0.999655
Streptomyces_violaceusniger_Tu_4113_uid52609	0.999639
Archaeoglobus_profundus_DSM_5631_uid43493	0.999639
Prochlorococcus_marinus_MIT_9215_uid58819	0.999549
Clostridium_botulinum_Ba4_657_uid59173	0.999537
Methanocaldococcus_vulcanius_M7_uid41131	0.999532
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	0.999496
Brucella_suis_ATCC_23445_uid59015	0.999466
Mobiluncus_curtisii_ATCC_43063_uid49695	0.999446
Roseobacter_denitrificans_OCh_114_uid58597	0.999421
Parvibaculum_lavamentivorans_DS_1_uid58739	0.999398
Haloarcula_hispanica_ATCC_33960_uid72475	0.999366
Halomicrobium_mukohataei_DSM_12286_uid59107	0.9993
Clostridium_botulinum_Ba4_657_uid59173	0.999295
Prochlorococcus_marinus_MIT_9211_uid58309	0.999154
Riemerella_anatipestifer_DSM_15868_uid60727	0.998973
Burkholderia_phymatum_STM815_uid58699	0.998961
Haloferax_volcanii_DS2_uid46845	0.998894
Aliivibrio_salmonicida_LFI1238_uid59251	0.998874
Prevotella_ruminicola_23_uid47507	0.998843
Brucella_suis_ATCC_23445_uid59015	0.998819
Methanocaldococcus_vulcanius_M7_uid41131	0.998716
Helicobacter_pylori_P12_uid59327	0.998584
Haloferax_volcanii_DS2_uid46845	0.998516
Variovorax_paradoxus_EPS_uid62107	0.998427
Psychrobacter_cryohalolentis_K5_uid58373	0.998427
Leptospira_interrogans_serovar_Lai_56601_uid57881	0.99834
Teredinibacter_turnerae_T7901_uid59267	0.998334
Cellulophaga_lytica_DSM_7489_uid63401	0.998294
Amycolatopsis_mediterranei_U32_uid50565	0.998169
Leptospira_interrogans_serovar_Lai_56601_uid57881	0.998094
Chlorobium_luteolum_DSM_273_uid58175	0.997991
Thioalkalivibrio_K90mix_uid46181	0.997716
Paenibacillus_JDR_2_uid59021	0.997681
Xylella_fastidiosa_M12_uid58763	0.997558
Clostridium_botulinum_Ba4_657_uid59173	0.997479
Haloferax_volcanii_DS2_uid46845	0.997465
Lacinutrix_5H_3_7_4_uid68067	0.99731
Aquifex_aeolicus_VF5_uid57765	0.997235
Desulfovibrio_vulgaris_Hildenborough_uid57645	0.997226
Rhodoferax_ferrireducens_T118_uid58353	0.997116
Odoribacter_splanchnicus_DSM_20712_uid63397	0.996982
Thioalkalivibrio_K90mix_uid46181	0.996974
Delftia_acidovorans_SPH_1_uid58703	0.996898
Dehalococcoides_BAV1_uid58477	0.996898
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.996749
Clostridium_SY8519_uid68705	0.996675
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	0.99659
Candidatus_Moranella_endobia_PCIT_uid68739	0.996559
Haemophilus_influenzae_PittGG_uid58593	0.996257
Bacillus_amyloliquefaciens_FZB42_uid58271	0.996232
Idiomarina_loihiensis_L2TR_uid58087	0.996218
Methanocaldococcus_vulcanius_M7_uid41131	0.996167
Burkholderia_phymatum_STM815_uid58699	0.996166
Shewanella_ANA_3_uid58347	0.99616
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	0.996111
Shewanella_ANA_3_uid58347	0.996081
Streptococcus_gallolyticus_UCN34_uid46061	0.996069
Sinorhizobium_medicae_WSM419_uid58549	0.995817
Aliivibrio_salmonicida_LFI1238_uid59251	0.995749
Laribacter_hongkongensis_HLHK9_uid59265	0.995602
Halomicrobium_mukohataei_DSM_12286_uid59107	0.995578
Candidatus_Amoebophilus_asiaticus_5a2_uid58963	0.995348
Coxiella_burnetii_RSA_493_uid57631	0.995099
Sinorhizobium_medicae_WSM419_uid58549	0.995004
Helicobacter_pylori_P12_uid59327	0.994998
Acinetobacter_DR1_uid50119	0.99485
Borrelia_afzelii_PKo_uid58653	0.99461
Acidimicrobium_ferrooxidans_DSM_10331_uid59215	0.994515
Synechococcus_CC9605_uid58319	0.994391
Klebsiella_variicola_At_22_uid42113	0.994261
Acinetobacter_ADP1_uid61597	0.994132
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	0.994054
Leifsonia_xyli_CTCB07_uid57759	0.993704
Burkholderia_glumae_BGR1_uid59397	0.993631
Nitrosopumilus_maritimus_SCM1_uid58903	0.993566
Methylomicrobium_alcaliphilum_uid77119	0.993558
Aliivibrio_salmonicida_LFI1238_uid59251	0.993296
Halanaerobium_hydrogeniformans_uid60191	0.993136
Burkholderia_glumae_BGR1_uid59397	0.993038
Sinorhizobium_medicae_WSM419_uid58549	0.99293
Chlorobium_chlorochromatii_CaD3_uid58375	0.992734
Sulfolobus_islandicus_Y_N_15_51_uid58825	0.992704
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	0.992567
Haloarcula_hispanica_ATCC_33960_uid72475	0.992534
Desulfatibacillum_alkenivorans_AK_01_uid58913	0.99252
Streptomyces_violaceusniger_Tu_4113_uid52609	0.99249
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.992314
Borrelia_afzelii_PKo_uid58653	0.991869
Aliivibrio_salmonicida_LFI1238_uid59251	0.991855
Geobacillus_Y412MC61_uid41171	0.991793
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.991636
Aliivibrio_salmonicida_LFI1238_uid59251	0.991617
Dickeya_zeae_Ech1591_uid59297	0.990942
Borrelia_afzelii_PKo_uid58653	0.9901
Yersinia_pestis_CO92_uid57621	0.98921
Burkholderia_phymatum_STM815_uid58699	0.988959
Aliivibrio_salmonicida_LFI1238_uid59251	0.988708
Yersinia_enterocolitica_palearctica_105_5R_r__uid63663	0.988697
Borrelia_afzelii_PKo_uid58653	0.98833
Megasphaera_elsdenii_DSM_20460_uid71135	0.988239
Rhodopseudomonas_palustris_HaA2_uid58439	0.988006
Sulfolobus_islandicus_Y_N_15_51_uid58825	0.987638
Clostridium_difficile_R20291_uid40921	0.987446
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.986851
Rhodopseudomonas_palustris_BisA53_uid58445	0.986651
Thermoanaerobacter_italicus_Ab9_uid46241	0.985005
Pseudomonas_fluorescens_Pf_5_uid57937	0.984701
Rothia_dentocariosa_ATCC_17931_uid49331	0.984479
Pseudomonas_mendocina_ymp_uid58723	0.984376
Yersinia_pestis_Pestoides_F_uid58619	0.984179
Sinorhizobium_medicae_WSM419_uid58549	0.983282
Wolbachia_endosymbiont_of_Drosophila_melanogaster_uid57851	0.98302
Haloferax_volcanii_DS2_uid46845	0.982723
Chlorobium_phaeobacteroides_DSM_266_uid58133	0.982462
Oligotropha_carboxidovorans_OM5_uid59155	0.981855
Streptomyces_violaceusniger_Tu_4113_uid52609	0.980078
Pseudomonas_syringae_B728a_uid57931	0.97981
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.979243
Escherichia_coli_S88_uid62979	0.978935
Haloferax_volcanii_DS2_uid46845	0.977322
Salmonella_enterica_serovar_Typhi_CT18_uid57793	0.972755
Burkholderia_glumae_BGR1_uid59397	0.963213
Yersinia_pestis_Pestoides_F_uid58619	0.953636
Burkholderia_glumae_BGR1_uid59397	0.950847
Yersinia_pestis_Pestoides_F_uid58619	0.948543
Neisseria_gonorrhoeae_FA_1090_uid57611	0.946897
Neisseria_gonorrhoeae_NCCP11945_uid59191	0.945018
Burkholderia_phymatum_STM815_uid58699	0.942414
Borrelia_afzelii_PKo_uid58653	0.91864
Salmonella_enterica_serovar_Typhi_CT18_uid57793	0.917306
Salmonella_enterica_serovar_Typhi_CT18_uid57793	0.917153
Burkholderia_glumae_BGR1_uid59397	0.917128
Burkholderia_glumae_BGR1_uid59397	0.910049
Escherichia_coli_ATCC_8739_uid58783	0.880447
Escherichia_coli_K_12_substr__MG1655_uid57779	0.828805
Yersinia_enterocolitica_palearctica_105_5R_r__uid63663	0.820636
Salmonella_enterica_serovar_Paratyphi_C_RKS4594_uid59063	0.778917
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	0.771287
Escherichia_coli_S88_uid62979	0.749338
